"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KEKLRKFI","journalArticle","2015","Laubach, Mark; Caetano, Marcelo S.; Narayanan, Nandakumar S.","Mistakes were made: neural mechanisms for the adaptive control of action initiation by the medial prefrontal cortex","Journal of Physiology, Paris","","1769-7115","10.1016/j.jphysparis.2014.12.001","","Studies in rats, monkeys and humans have established that the medial prefrontal cortex is crucial for the ability to exert adaptive control over behavior. Here, we review studies on the role of the rat medial prefrontal cortex in adaptive control, with a focus on simple reaction time tasks that can be easily used across species and have clinical relevance. The performance of these tasks is associated with neural activity in the medial prefrontal cortex that reflects stimulus detection, action timing, and outcome monitoring. We describe rhythmic neural activity that occurs when animals initiate a temporally extended action. Such rhythmic activity is coterminous with major changes in population spike activity. Testing animals over a series of sessions with varying pre-stimulus intervals showed that the signals adapt to the current temporal demands of the task. Disruptions of rhythmic neural activity occur on error trials (premature responding) and lead to a persistent encoding of the error and a subsequent change in behavioral performance (i.e. post-error slowing). Analysis of simultaneously recorded spike activity suggests that the presence of strong theta rhythms is coterminous with altered network dynamics, and might serve as a mechanism for adaptive control. Computational modeling suggests that these signals may enable learning from errors. Together, our findings contribute to an emerging literature and provide a new perspective on the neuronal mechanisms for the adaptive control of action.","2015-06","2018-07-06 13:20:52","2018-07-06 13:20:52","","104-117","","1-3","109","","J. Physiol. Paris","Mistakes were made","","","","","","","eng","","","","","PubMed","","PMID: 25636373 PMCID: PMC5292776","","","http://www.ncbi.nlm.nih.gov/pubmed/25636373","","Adaptation, Physiological; Animals; Anterior cingulate; Brain Mapping; Brain Waves; Delta; Dynamics; Humans; Inhibition; Learning; Neurons; Phase; Prefrontal Cortex; Rats; Theta; Timing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZVNPIE3","journalArticle","2015","Parent, Marc A.; Amarante, Linda M.; Swanson, Kyra; Laubach, Mark","Cholinergic and ghrelinergic receptors and KCNQ channels in the medial PFC regulate the expression of palatability","Frontiers in Behavioral Neuroscience","","1662-5153","10.3389/fnbeh.2015.00284","","The medial prefrontal cortex (mPFC) is a key brain region for the control of consummatory behavior. Neuronal activity in this area is modulated when rats initiate consummatory licking and reversible inactivations eliminate reward contrast effects and reduce a measure of palatability, the duration of licking bouts. Together, these data suggest the hypothesis that rhythmic neuronal activity in the mPFC is crucial for the control of consummatory behavior. The muscarinic cholinergic system is known to regulate membrane excitability and control low-frequency rhythmic activity in the mPFC. Muscarinic receptors (mAChRs) act through KCNQ (Kv7) potassium channels, which have recently been linked to the orexigenic peptide ghrelin. To understand if drugs that act on KCNQ channels within the mPFC have effects on consummatory behavior, we made infusions of several muscarinic drugs (scopolamine, oxotremorine, physostigmine), the KCNQ channel blocker XE-991, and ghrelin into the mPFC and evaluated their effects on consummatory behavior. A consistent finding across all drugs was an effect on the duration of licking bouts when animals consume solutions with a relatively high concentration of sucrose. The muscarinic antagonist scopolamine reduced bout durations, both systemically and intra-cortically. By contrast, the muscarinic agonist oxotremorine, the cholinesterase inhibitor physostigmine, the KCNQ channel blocker XE-991, and ghrelin all increased the durations of licking bouts when infused into the mPFC. Our findings suggest that cholinergic and ghrelinergic signaling in the mPFC, acting through KCNQ channels, regulates the expression of palatability.","2015","2018-07-06 13:20:53","2018-07-06 13:20:53","","284","","","9","","Front Behav Neurosci","","","","","","","","eng","","","","","PubMed","","PMID: 26578914 PMCID: PMC4620145","","","http://www.ncbi.nlm.nih.gov/pubmed/26578914","","ghrelin; KCNQ; licking; muscarinic; prefrontal; reward","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMV8MLMY","journalArticle","2015","Parent, Marc A.; Amarante, Linda M.; Liu, Benjamine; Weikum, Damian; Laubach, Mark","The medial prefrontal cortex is crucial for the maintenance of persistent licking and the expression of incentive contrast","Frontiers in Integrative Neuroscience","","1662-5145","10.3389/fnint.2015.00023","","We examined the role of the medial prefrontal cortex (mPFC) in reward processing and the control of consummatory behavior. Rats were trained in an operant licking procedure in which they received alternating access to solutions with relatively high and low levels of sucrose (20 and 4%, w/v). Each level of sucrose was available for fixed intervals of 30 s over 30 min test sessions. Over several days of training, rats came to lick persistently when the high level of sucrose was available and suppressed licking when the low level of sucrose was available. Pharmacological inactivations of the mPFC, specifically the rostral part of the prelimbic area, greatly reduced intake of the higher value fluid and only slightly increased intake of the lower value fluid. In addition, the inactivations altered within-session patterns and microstructural measures of licking. Rats licked equally for the high and low levels of sucrose at the beginning of the test sessions and ""relearned"" to reduce intake of the low value fluid over the test sessions. Durations of licking bouts (clusters of licks with inter-lick intervals <0.5 s) were reduced for the high value fluid and there were many more brief licking bouts (<1 s) when the low value fluid was available. These effects were verified using an alternative approach (optogenetic silencing using archaerhodopsin) and were distinct from inactivation of the ventral striatum, which simply increased overall intake. Our findings suggest that the mPFC is crucial for the maintenance of persistent licking and the expression of learned feeding strategies.","2015","2018-07-06 13:20:54","2018-07-06 13:20:54","","23","","","9","","Front Integr Neurosci","","","","","","","","eng","","","","","PubMed","","PMID: 25870544 PMCID: PMC4375994","","","http://www.ncbi.nlm.nih.gov/pubmed/25870544","","cingulate cortex; learning; muscimol; optogenetics; prefrontal cortex; reward processing; sucrose","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9H2ZWZK3","journalArticle","2015","Laubach, Mark; Bouret, Sebastien; Sallet, Jerome","Special issue: Neural basis of adaptive control","Journal of Physiology, Paris","","1769-7115","10.1016/j.jphysparis.2015.04.001","","","2015-06","2018-07-06 13:20:55","2018-07-06 13:20:55","","1-2","","1-3","109","","J. Physiol. Paris","Special issue","","","","","","","eng","","","","","PubMed","","PMID: 25994523","","","http://www.ncbi.nlm.nih.gov/pubmed/25994523","","Brain; Cognition; Humans; Models, Neurological; Motivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUVSDTU6","journalArticle","2014","Bekolay, Trevor; Laubach, Mark; Eliasmith, Chris","A spiking neural integrator model of the adaptive control of action by the medial prefrontal cortex","The Journal of Neuroscience: The Official Journal of the Society for Neuroscience","","1529-2401","10.1523/JNEUROSCI.2421-13.2014","","Subjects performing simple reaction-time tasks can improve reaction times by learning the expected timing of action-imperative stimuli and preparing movements in advance. Success or failure on the previous trial is often an important factor for determining whether a subject will attempt to time the stimulus or wait for it to occur before initiating action. The medial prefrontal cortex (mPFC) has been implicated in enabling the top-down control of action depending on the outcome of the previous trial. Analysis of spike activity from the rat mPFC suggests that neural integration is a key mechanism for adaptive control in precisely timed tasks. We show through simulation that a spiking neural network consisting of coupled neural integrators captures the neural dynamics of the experimentally recorded mPFC. Errors lead to deviations in the normal dynamics of the system, a process that could enable learning from past mistakes. We expand on this coupled integrator network to construct a spiking neural network that performs a reaction-time task by following either a cue-response or timing strategy, and show that it performs the task with similar reaction times as experimental subjects while maintaining the same spiking dynamics as the experimentally recorded mPFC.","2014-01-29","2018-07-06 13:20:55","2018-07-06 13:20:55","","1892-1902","","5","34","","J. Neurosci.","","","","","","","","eng","","","","","PubMed","","PMID: 24478368","","","http://www.ncbi.nlm.nih.gov/pubmed/24478368","","Acoustic Stimulation; Action Potentials; Adaptation, Physiological; adaptive control; Animals; Computer Simulation; Conditioning, Operant; delayed response RT task; Male; Models, Neurological; mPFC; Nerve Net; neural dynamics; neural engineering framework; neural integrator; Neurons; Predictive Value of Tests; Prefrontal Cortex; Principal Component Analysis; Rats; Rats, Long-Evans; Reaction Time; Reward","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KTZEU6WQ","journalArticle","2014","Amarante, Linda M.; Laubach, Mark","For better or worse: reward comparison by the ventromedial prefrontal cortex","Neuron","","1097-4199","10.1016/j.neuron.2014.05.046","","In this issue of Neuron, Strait et al. (2014) studied how neurons in the monkey ventromedial prefrontal cortex encode value-based decisions. Neurons were commonly influenced by reward magnitude and probability, showed anticorrelation for better and worse options, and covaried with choice independent of value.","2014-06-18","2018-07-06 13:20:56","2018-07-06 13:20:56","","1191-1193","","6","82","","Neuron","For better or worse","","","","","","","eng","","","","","PubMed","","PMID: 24945761","","","http://www.ncbi.nlm.nih.gov/pubmed/24945761","","Animals; Choice Behavior; Male; Neural Inhibition; Prefrontal Cortex; Reward","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8IAKY4X","journalArticle","2013","Narayanan, Nandakumar S.; Cavanagh, James F.; Frank, Michael J.; Laubach, Mark","Common medial frontal mechanisms of adaptive control in humans and rodents","Nature Neuroscience","","1546-1726","10.1038/nn.3549","","In this report we describe how common brain networks within the medial frontal cortex (MFC) facilitate adaptive behavioral control in rodents and humans. We demonstrate that after errors, low-frequency oscillations below 12 Hz are modulated over the midfrontal cortex in humans and within the prelimbic and anterior cingulate regions of the MFC in rats. These oscillations were phase locked between the MFC and motor areas in both rats and humans. In rats, single neurons that encoded prior behavioral outcomes were phase coherent with low-frequency field oscillations, particularly after errors. Inactivating the medial frontal regions in rats led to impaired behavioral adjustments after errors, eliminated the differential expression of low-frequency oscillations after errors and increased low-frequency spike-field coupling within the motor cortex. Our results describe a new mechanism for behavioral adaptation through low-frequency oscillations and elucidate how medial frontal networks synchronize brain activity to guide performance.","2013-12","2018-07-06 13:20:57","2018-07-06 13:20:57","","1888-1895","","12","16","","Nat. Neurosci.","","","","","","","","eng","","","","","PubMed","","PMID: 24141310 PMCID: PMC3840072","","","http://www.ncbi.nlm.nih.gov/pubmed/24141310","","Acoustic Stimulation; Adaptation, Physiological; Animals; Brain Mapping; Brain Waves; Conditioning, Operant; Electroencephalography; Female; Frontal Lobe; Humans; Male; Rats; Rats, Long-Evans; Reaction Time; Time Perception; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4MD9Q9GY","journalArticle","2013","Horst, Nicole K.; Laubach, Mark","Reward-related activity in the medial prefrontal cortex is driven by consumption","Frontiers in Neuroscience","","1662-4548","10.3389/fnins.2013.00056","","An emerging literature suggests that the medial prefrontal cortex (mPFC) is crucial for the ability to track behavioral outcomes over time and has a critical role in successful foraging. Here, we examine this issue by analyzing changes in neuronal spike activity and local field potentials in the rat mPFC in relation to the consumption of rewarding stimuli. Using multi-electrode recording methods, we simultaneously recorded from ensembles of neurons and field potentials in the mPFC during the performance of an operant-delayed alternation task and a variable-interval licking procedure. In both tasks, we found that consummatory behavior (licking) activates many mPFC neurons and is associated with theta-band phase locking by mPFC field potentials. Many neurons that were modulated by the delivery of reward were also modulated when rats emitted bouts of licks during the period of consumption. The majority of these licking-modulated neurons were found in the rostral part of the prelimbic cortex, a region that is heavily interconnected with the gustatory insular cortex and projects to subcortical feeding-related centers. Based on the tight coupling between spike activity, theta-band phase locking, and licking behavior, we suggest that reward-related activity in the mPFC is driven by consummatory behavior.","2013","2018-07-06 13:20:57","2018-07-06 13:20:57","","56","","","7","","Front Neurosci","","","","","","","","eng","","","","","PubMed","","PMID: 23596384 PMCID: PMC3622888","","","http://www.ncbi.nlm.nih.gov/pubmed/23596384","","feeding; field potential; food; foraging; licking; phase locking; population activity; theta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FLRD8L6","journalArticle","2012","Caetano, Marcelo S.; Jin, Lu E.; Harenberg, Linda; Stachenfeld, Kimberly L.; Arnsten, Amy F. T.; Laubach, Mark","Noradrenergic control of error perseveration in medial prefrontal cortex","Frontiers in Integrative Neuroscience","","1662-5145","10.3389/fnint.2012.00125","","The medial prefrontal cortex (mPFC) plays a key role in behavioral variability, action monitoring, and inhibitory control. The functional role of mPFC may change over the lifespan due to a number of aging-related issues, including dendritic regression, increased cAMP signaling, and reductions in the efficacy of neuromodulators to influence mPFC processing. A key neurotransmitter in mPFC is norepinephrine. Previous studies have reported aging-related changes in the sensitivity of mPFC-dependent tasks to noradrenergic agonist drugs, such as guanfacine. Here, we assessed the effects of yohimbine, an alpha-2 noradrenergic antagonist, in cohorts of younger and older rats in a classic test of spatial working memory (using a T-maze). Older rats (23-29 mo.) were impaired by a lower dose of yohimbine compared to younger animals (5-10 mo.). To determine if the drug acts on alpha-2 noradrenergic receptors in mPFC and if its effects are specific to memory-guided performance, we made infusions of yohimbine into mPFC of a cohort of young rats (6 mo.) using an operant delayed response task. The task involved testing rats in blocks of trials with memory- and stimulus-guided performance. Yohimbine selectively impaired memory-guided performance and was associated with error perseveration. Infusions of muscimol (a GABA-A agonist) at the same sites also selectively impaired memory-guided performance, but did not lead to error perseveration. Based on these results, we propose several potential interpretations for the role for the noradrenergic system in the performance of delayed response tasks, including the encoding of previous response locations, task rules (i.e., using a win-stay strategy instead of a win-shift strategy), and performance monitoring (e.g., prospective encoding of outcomes).","2012","2018-07-06 13:20:58","2018-07-06 13:20:58","","125","","","6","","Front Integr Neurosci","","","","","","","","eng","","","","","PubMed","","PMID: 23293590 PMCID: PMC3534184","","","http://www.ncbi.nlm.nih.gov/pubmed/23293590","","aging; behavioral flexibility; cognitive control; muscimol; noradrenaline; prefrontal cortex; working memory; yohimbine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNQ34VJZ","journalArticle","2011","Wang, Min; Gamo, Nao J.; Yang, Yang; Jin, Lu E.; Wang, Xiao-Jing; Laubach, Mark; Mazer, James A.; Lee, Daeyeol; Arnsten, Amy F. T.","Neuronal basis of age-related working memory decline","Nature","","1476-4687","10.1038/nature10243","","Many of the cognitive deficits of normal ageing (forgetfulness, distractibility, inflexibility and impaired executive functions) involve prefrontal cortex (PFC) dysfunction. The PFC guides behaviour and thought using working memory, which are essential functions in the information age. Many PFC neurons hold information in working memory through excitatory networks that can maintain persistent neuronal firing in the absence of external stimulation. This fragile process is highly dependent on the neurochemical environment. For example, elevated cyclic-AMP signalling reduces persistent firing by opening HCN and KCNQ potassium channels. It is not known if molecular changes associated with normal ageing alter the physiological properties of PFC neurons during working memory, as there have been no in vivo recordings, to our knowledge, from PFC neurons of aged monkeys. Here we characterize the first recordings of this kind, revealing a marked loss of PFC persistent firing with advancing age that can be rescued by restoring an optimal neurochemical environment. Recordings showed an age-related decline in the firing rate of DELAY neurons, whereas the firing of CUE neurons remained unchanged with age. The memory-related firing of aged DELAY neurons was partially restored to more youthful levels by inhibiting cAMP signalling, or by blocking HCN or KCNQ channels. These findings reveal the cellular basis of age-related cognitive decline in dorsolateral PFC, and demonstrate that physiological integrity can be rescued by addressing the molecular needs of PFC circuits.","2011-07-27","2018-07-06 13:20:59","2018-07-06 13:20:59","","210-213","","7359","476","","Nature","","","","","","","","eng","","","","","PubMed","","PMID: 21796118 PMCID: PMC3193794","","","http://www.ncbi.nlm.nih.gov/pubmed/21796118","","Action Potentials; Adrenergic alpha-2 Receptor Agonists; Aging; Animals; Biomedical Enhancement; Cues; Cyclic AMP; Cyclic Nucleotide-Gated Cation Channels; Guanfacine; Humans; Hyperpolarization-Activated Cyclic Nucleotide-Gated Channels; KCNQ Potassium Channels; Macaca mulatta; Male; Memory, Short-Term; Models, Neurological; Neural Pathways; Potassium Channel Blockers; Potassium Channels; Prefrontal Cortex; Receptors, Adrenergic, alpha-2; Signal Transduction; Time Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
